# x, y, theta, v_l, v_r
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
